SEX,IQ,PLANS,PARENT,SES,COUNT
1,1,1,1,1,4
1,1,1,1,2,2
1,1,1,1,3,8
1,1,1,1,4,4
1,1,1,2,1,13
1,1,1,2,2,27
1,1,1,2,3,47
1,1,1,2,4,39
1,1,2,1,1,349
1,1,2,1,2,232
1,1,2,1,3,166
1,1,2,1,4,48
1,1,2,2,1,64
1,1,2,2,2,84
1,1,2,2,3,91
1,1,2,2,4,57
1,2,1,1,1,9
1,2,1,1,2,7
1,2,1,1,3,6
1,2,1,1,4,5
1,2,1,2,1,33
1,2,1,2,2,64
1,2,1,2,3,74
1,2,1,2,4,123
1,2,2,1,1,207
1,2,2,1,2,201
1,2,2,1,3,120
1,2,2,1,4,47
1,2,2,2,1,72
1,2,2,2,2,95
1,2,2,2,3,110
1,2,2,2,4,65
1,3,1,1,1,12
1,3,1,1,2,12
1,3,1,1,3,17
1,3,1,1,4,9
1,3,1,2,1,38
1,3,1,2,2,93
1,3,1,2,3,148
1,3,1,2,4,224
1,3,2,1,1,126
1,3,2,1,2,115
1,3,2,1,3,92
1,3,2,1,4,41
1,3,2,2,1,54
1,3,2,2,2,92
1,3,2,2,3,100
1,3,2,2,4,65
1,4,1,1,1,10
1,4,1,1,2,17
1,4,1,1,3,6
1,4,1,1,4,8
1,4,1,2,1,49
1,4,1,2,2,119
1,4,1,2,3,198
1,4,1,2,4,414
1,4,2,1,1,67
1,4,2,1,2,79
1,4,2,1,3,42
1,4,2,1,4,17
1,4,2,2,1,43
1,4,2,2,2,59
1,4,2,2,3,73
1,4,2,2,4,54
2,1,1,1,1,5
2,1,1,1,2,11
2,1,1,1,3,7
2,1,1,1,4,6
2,1,1,2,1,9
2,1,1,2,2,29
2,1,1,2,3,36
2,1,1,2,4,36
2,1,2,1,1,454
2,1,2,1,2,285
2,1,2,1,3,163
2,1,2,1,4,50
2,1,2,2,1,44
2,1,2,2,2,61
2,1,2,2,3,72
2,1,2,2,4,58
2,2,1,1,1,5
2,2,1,1,2,19
2,2,1,1,3,13
2,2,1,1,4,5
2,2,1,2,1,14
2,2,1,2,2,47
2,2,1,2,3,75
2,2,1,2,4,110
2,2,2,1,1,312
2,2,2,1,2,236
2,2,2,1,3,193
2,2,2,1,4,70
2,2,2,2,1,47
2,2,2,2,2,88
2,2,2,2,3,90
2,2,2,2,4,76
2,3,1,1,1,8
2,3,1,1,2,12
2,3,1,1,3,12
2,3,1,1,4,12
2,3,1,2,1,20
2,3,1,2,2,62
2,3,1,2,3,91
2,3,1,2,4,230
2,3,2,1,1,216
2,3,2,1,2,164
2,3,2,1,3,174
2,3,2,1,4,48
2,3,2,2,1,35
2,3,2,2,2,85
2,3,2,2,3,100
2,3,2,2,4,81
2,4,1,1,1,13
2,4,1,1,2,15
2,4,1,1,3,20
2,4,1,1,4,13
2,4,1,2,1,28
2,4,1,2,2,72
2,4,1,2,3,142
2,4,1,2,4,360
2,4,2,1,1,96
2,4,2,1,2,113
2,4,2,1,3,81
2,4,2,1,4,49
2,4,2,2,1,24
2,4,2,2,2,50
2,4,2,2,3,77
2,4,2,2,4,98
